"Index","Name","Category","Definition Link"
,"Hungarian Social Security Number (TAJ)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-social-security-number"
,"Hungary tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-tax-identification-number"
,"Hungarian Value Added Tax Number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-hungary-value-added-tax-number"
,"Iceland physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-iceland-physical-addresses"
,"Impairments Listed In The U.S. Disability Evaluation Under Social Security","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-impairments-us-disability-evaluation-under-social-security"
,"India driver's License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-india-drivers-license-number"
,"India GST Number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-india-gst-number"
,"India permanent account number (PAN)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-india-permanent-account-number"
,"India unique identification (Aadhaar) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-india-unique-identification-number"
,"India Voter Id Card","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-india-voter-id-card"
,"Indonesia Drivers License Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-indonesia-drivers-license-number"
,"Indonesia identity card (KTP) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-indonesia-identity-card-number"
,"Indonesia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-indonesia-passport-number"
,"International banking account number (IBAN)","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-international-banking-account-number"
,"International classification of diseases (ICD-10-CM)","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-international-classification-of-diseases-icd-10-cm"
,"International classification of diseases (ICD-9-CM)","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-international-classification-of-diseases-icd-9-cm"
,"IP address","General","https://learn.microsoft.com/en-us/purview/sit-defn-ip-address"
,"IP Address v4","General","https://learn.microsoft.com/en-us/purview/sit-defn-ip-address-v4"
,"IP Address v6","General","https://learn.microsoft.com/en-us/purview/sit-defn-ip-address-v6"
,"Ireland driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-ireland-drivers-license-number"
,"Ireland passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-ireland-passport-number"
,"Ireland personal public service (PPS) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-ireland-personal-public-service-number"
,"Ireland physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-ireland-physical-addresses"
,"Israel bank account number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-israel-bank-account-number"
,"Israel National ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-israel-national-identification-number"
